Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]"
Surface area (sq. km),"AG.SRF.TOTL.K2","Cameroon","CMR","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440","475440"
Surface area (sq. km),"AG.SRF.TOTL.K2","Canada","CAN","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670","9984670"
Surface area (sq. km),"AG.SRF.TOTL.K2","Cayman Islands","CYM","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264"
Surface area (sq. km),"AG.SRF.TOTL.K2","Central African Republic","CAF","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980"
Surface area (sq. km),"AG.SRF.TOTL.K2","Chad","TCD","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000","1284000"
Surface area (sq. km),"AG.SRF.TOTL.K2","Channel Islands","CHI","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190"
Surface area (sq. km),"AG.SRF.TOTL.K2","Chile","CHL","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096","756096"
Surface area (sq. km),"AG.SRF.TOTL.K2","China","CHN","9562920","9562914.2","9562913.2","9562912.7","9562912.5","9562911.8","9562911.4","9562910.8","9562910.8","9562911","9562911","9562911","9562911","9562911","9562911","9562911","9562911"
Surface area (sq. km),"AG.SRF.TOTL.K2","Colombia","COL","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141750","1141748","1141749","1141749","1141749","1141749"
Surface area (sq. km),"AG.SRF.TOTL.K2","Comoros","COM","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861"
Surface area (sq. km),"AG.SRF.TOTL.K2","Congo, Dem. Rep.","COD","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860","2344860"
Surface area (sq. km),"AG.SRF.TOTL.K2","Congo, Rep.","COG","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000","342000"
Surface area (sq. km),"AG.SRF.TOTL.K2","Costa Rica","CRI","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100","51100"
Surface area (sq. km),"AG.SRF.TOTL.K2","Cote d'Ivoire","CIV","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460","322460"
Surface area (sq. km),"AG.SRF.TOTL.K2","Croatia","HRV","56540","56540","56540","56540","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590"
Surface area (sq. km),"AG.SRF.TOTL.K2","Cuba","CUB","109890","109890","109890","109890","109890","109890","109890","109890","109890","109890","109880","109880","109880","109880","109880","109880","109880"
Surface area (sq. km),"AG.SRF.TOTL.K2","Curacao","CUW","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444"
Surface area (sq. km),"AG.SRF.TOTL.K2","Cyprus","CYP","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250","9250"
Surface area (sq. km),"AG.SRF.TOTL.K2","Czech Republic","CZE","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870","78870"
Surface area (sq. km),"AG.SRF.TOTL.K2","Denmark","DNK","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","42890","42916","42922","42922","42922"
Surface area (sq. km),"AG.SRF.TOTL.K2","Djibouti","DJI","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200"
Surface area (sq. km),"AG.SRF.TOTL.K2","Dominica","DMA","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750"
Surface area (sq. km),"AG.SRF.TOTL.K2","Dominican Republic","DOM","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670"
Surface area (sq. km),"AG.SRF.TOTL.K2","Ecuador","ECU","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370"
Surface area (sq. km),"AG.SRF.TOTL.K2","Egypt, Arab Rep.","EGY","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450"
Surface area (sq. km),"AG.SRF.TOTL.K2","El Salvador","SLV","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040","21040"
Surface area (sq. km),"AG.SRF.TOTL.K2","Equatorial Guinea","GNQ","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050"
Surface area (sq. km),"AG.SRF.TOTL.K2","Eritrea","ERI","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600"
Surface area (sq. km),"AG.SRF.TOTL.K2","Estonia","EST","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230"
Surface area (sq. km),"AG.SRF.TOTL.K2","Ethiopia","ETH","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300"
Surface area (sq. km),"AG.SRF.TOTL.K2","Faroe Islands","FRO","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396"
Surface area (sq. km),"AG.SRF.TOTL.K2","Fiji","FJI","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270"
Surface area (sq. km),"AG.SRF.TOTL.K2","Finland","FIN","338150","338150","338150","338150","338150","338150","338440","338420","338420","338420","338420","338420","338420","338420","338420","338420","338420"
Surface area (sq. km),"AG.SRF.TOTL.K2","France","FRA","549087","549087","549087","549387","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087"
Surface area (sq. km),"AG.SRF.TOTL.K2","French Polynesia","PYF","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000"
Surface area (sq. km),"AG.SRF.TOTL.K2","Gabon","GAB","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670"
Surface area (sq. km),"AG.SRF.TOTL.K2","Gambia, The","GMB","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300"
Surface area (sq. km),"AG.SRF.TOTL.K2","Georgia","GEO","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700"
Surface area (sq. km),"AG.SRF.TOTL.K2","Germany","DEU","357030","357030","357040","357040","357050","357090","357100","357100","357110","357120","357127","357140","357170","357340","357380","357380","357380"
Surface area (sq. km),"AG.SRF.TOTL.K2","Ghana","GHA","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540"
Surface area (sq. km),"AG.SRF.TOTL.K2","Gibraltar","GIB","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
Surface area (sq. km),"AG.SRF.TOTL.K2","Greece","GRC","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960"
Surface area (sq. km),"AG.SRF.TOTL.K2","Greenland","GRL","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450"
Surface area (sq. km),"AG.SRF.TOTL.K2","Grenada","GRD","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340"
Surface area (sq. km),"AG.SRF.TOTL.K2","Guam","GUM","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540"
Surface area (sq. km),"AG.SRF.TOTL.K2","Guatemala","GTM","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890"
Surface area (sq. km),"AG.SRF.TOTL.K2","Guinea","GIN","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860"
Surface area (sq. km),"AG.SRF.TOTL.K2","Guinea-Bissau","GNB","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130"
Surface area (sq. km),"AG.SRF.TOTL.K2","Guyana","GUY","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970"
Surface area (sq. km),"AG.SRF.TOTL.K2","Haiti","HTI","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750"
Surface area (sq. km),"AG.SRF.TOTL.K2","Honduras","HND","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490"
Surface area (sq. km),"AG.SRF.TOTL.K2","Hong Kong SAR, China","HKG","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1105","1105","1105"
Surface area (sq. km),"AG.SRF.TOTL.K2","Hungary","HUN","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030"
Surface area (sq. km),"AG.SRF.TOTL.K2","Iceland","ISL","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000","103000"
Surface area (sq. km),"AG.SRF.TOTL.K2","India","IND","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287260","3287259","3287259","3287259"
Surface area (sq. km),"AG.SRF.TOTL.K2","Indonesia","IDN","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910931","1910931","1910931"
Surface area (sq. km),"AG.SRF.TOTL.K2","Iran, Islamic Rep.","IRN","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150","1745150"
Surface area (sq. km),"AG.SRF.TOTL.K2","Iraq","IRQ","438320","438320","438320","438320","438320","438320","438320","438320","438320","435240","435240","435240","435050","435050","435050","435050","435050"
Surface area (sq. km),"AG.SRF.TOTL.K2","Ireland","IRL","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280","70280"
Surface area (sq. km),"AG.SRF.TOTL.K2","Isle of Man","IMN","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570"
Surface area (sq. km),"AG.SRF.TOTL.K2","Israel","ISR","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070","22070"
Surface area (sq. km),"AG.SRF.TOTL.K2","Italy","ITA","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340","301340"
Surface area (sq. km),"AG.SRF.TOTL.K2","Jamaica","JAM","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990","10990"
Surface area (sq. km),"AG.SRF.TOTL.K2","Japan","JPN","377800","377880","377890","377900","377910","377910","377920","377930","377940","377947","377950","377955","377960","377962","377962","377962","377962"
Surface area (sq. km),"AG.SRF.TOTL.K2","Jordan","JOR","88780","88780","88780","88780","88780","88780","88780","88780","88780","89320","89320","89320","89320","89320","89320","89320","89320"
Surface area (sq. km),"AG.SRF.TOTL.K2","Kazakhstan","KAZ","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902","2724902"
Surface area (sq. km),"AG.SRF.TOTL.K2","Kenya","KEN","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370","580370"
Surface area (sq. km),"AG.SRF.TOTL.K2","Kiribati","KIR","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810"
Surface area (sq. km),"AG.SRF.TOTL.K2","Korea, Dem. People’s Rep.","PRK","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540","120540"
Surface area (sq. km),"AG.SRF.TOTL.K2","Korea, Rep.","KOR","99260","99540","99590","99600","99620","99650","99680","99720","99830","99900","100030","100030","100150","100266","100280","100280","100280"
Surface area (sq. km),"AG.SRF.TOTL.K2","Kosovo","XKX","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887","10887"
Surface area (sq. km),"AG.SRF.TOTL.K2","Kuwait","KWT","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820"
Surface area (sq. km),"AG.SRF.TOTL.K2","Kyrgyz Republic","KGZ","199950","199950","199950","199950","199950","199950","199950","199950","199950","199949","199949","199949","199949","199949","199949","199949","199949"
Surface area (sq. km),"AG.SRF.TOTL.K2","Lao PDR","LAO","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800"
Surface area (sq. km),"AG.SRF.TOTL.K2","Latvia","LVA","64559","64559","64559","64559","64559","64559","64559","64559","64559","64560","64510","64480","64480","64490","64490","64490","64490"
Surface area (sq. km),"AG.SRF.TOTL.K2","Lebanon","LBN","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450","10450"
Surface area (sq. km),"AG.SRF.TOTL.K2","Lesotho","LSO","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360"
Surface area (sq. km),"AG.SRF.TOTL.K2","Liberia","LBR","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370","111370"
Surface area (sq. km),"AG.SRF.TOTL.K2","Libya","LBY","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540"
Surface area (sq. km),"AG.SRF.TOTL.K2","Liechtenstein","LIE","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160"
Surface area (sq. km),"AG.SRF.TOTL.K2","Lithuania","LTU","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65300","65286","65286","65286"
Surface area (sq. km),"AG.SRF.TOTL.K2","Luxembourg","LUX","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590","2590"
Surface area (sq. km),"AG.SRF.TOTL.K2","Macao SAR, China","MAC","20","26","27","27","28","28","28.6","29.2","29.2","29.5","29.6999999999999","29.9","29.9","30.3","30.3","30.3","30.3"
Surface area (sq. km),"AG.SRF.TOTL.K2","Macedonia, FYR","MKD","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710","25710"
Surface area (sq. km),"AG.SRF.TOTL.K2","Madagascar","MDG","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587040","587295","587295","587295","587295","587295","587295"
Surface area (sq. km),"AG.SRF.TOTL.K2","Malawi","MWI","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480","118480"
Surface area (sq. km),"AG.SRF.TOTL.K2","Malaysia","MYS","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800","330800"
Surface area (sq. km),"AG.SRF.TOTL.K2","Maldives","MDV","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300"
Surface area (sq. km),"AG.SRF.TOTL.K2","Mali","MLI","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190","1240190"
Surface area (sq. km),"AG.SRF.TOTL.K2","Malta","MLT","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320","320"
Surface area (sq. km),"AG.SRF.TOTL.K2","Marshall Islands","MHL","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180"
Surface area (sq. km),"AG.SRF.TOTL.K2","Mauritania","MRT","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700","1030700"
Surface area (sq. km),"AG.SRF.TOTL.K2","Mauritius","MUS","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040","2040"
Surface area (sq. km),"AG.SRF.TOTL.K2","Mexico","MEX","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380","1964380"
Surface area (sq. km),"AG.SRF.TOTL.K2","Micronesia, Fed. Sts.","FSM","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700"
Surface area (sq. km),"AG.SRF.TOTL.K2","Moldova","MDA","33840","33840","33840","33840","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850","33850"
Surface area (sq. km),"AG.SRF.TOTL.K2","Monaco","MCO","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
Surface area (sq. km),"AG.SRF.TOTL.K2","Mongolia","MNG","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120","1564120"
Surface area (sq. km),"AG.SRF.TOTL.K2","Montenegro","MNE","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810","13810"
Surface area (sq. km),"AG.SRF.TOTL.K2","Morocco","MAR","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550","446550"
Surface area (sq. km),"AG.SRF.TOTL.K2","Mozambique","MOZ","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380","799380"
Surface area (sq. km),"AG.SRF.TOTL.K2","Myanmar","MMR","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590","676590"
Surface area (sq. km),"AG.SRF.TOTL.K2","Namibia","NAM","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290","824290"
Surface area (sq. km),"AG.SRF.TOTL.K2","Nauru","NRU","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
Surface area (sq. km),"AG.SRF.TOTL.K2","Nepal","NPL","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180","147180"
Surface area (sq. km),"AG.SRF.TOTL.K2","Netherlands","NLD","41530","41530","41530","41530","41530","41540","41540","41540","41540","41540","41540","41540","41540","41540","41540","41540","41540"
Surface area (sq. km),"AG.SRF.TOTL.K2","New Caledonia","NCL","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580","18580"
Surface area (sq. km),"AG.SRF.TOTL.K2","New Zealand","NZL","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710","267710"
Surface area (sq. km),"AG.SRF.TOTL.K2","Nicaragua","NIC","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370","130370"
Surface area (sq. km),"AG.SRF.TOTL.K2","Niger","NER","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000","1267000"
Surface area (sq. km),"AG.SRF.TOTL.K2","Nigeria","NGA","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770","923770"
Surface area (sq. km),"AG.SRF.TOTL.K2","Northern Mariana Islands","MNP","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460"
Surface area (sq. km),"AG.SRF.TOTL.K2","Norway","NOR","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178","385178"
Surface area (sq. km),"AG.SRF.TOTL.K2","Oman","OMN","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500","309500"
Surface area (sq. km),"AG.SRF.TOTL.K2","Pakistan","PAK","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100","796100"
Surface area (sq. km),"AG.SRF.TOTL.K2","Palau","PLW","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460","460"
Surface area (sq. km),"AG.SRF.TOTL.K2","Panama","PAN","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420","75420"
Surface area (sq. km),"AG.SRF.TOTL.K2","Papua New Guinea","PNG","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840","462840"
Surface area (sq. km),"AG.SRF.TOTL.K2","Paraguay","PRY","406750","406750","406750","406750","406750","406750","406750","406750","406750","406750","406752","406752","406752","406752","406752","406752","406752"
Surface area (sq. km),"AG.SRF.TOTL.K2","Peru","PER","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220","1285220"
